Date,ETHUSDT WAVESUSDT_cum_rets,NEOUSDT ATOMUSDT_cum_rets,LTCUSDT ONTUSDT_cum_rets,LTCUSDT HOTUSDT_cum_rets,LTCUSDT IOSTUSDT_cum_rets,LTCUSDT MITHUSDT_cum_rets,QTUMUSDT IOSTUSDT_cum_rets,EOSUSDT MITHUSDT_cum_rets,XLMUSDT ZILUSDT_cum_rets,XLMUSDT MATICUSDT_cum_rets,ONTUSDT ONGUSDT_cum_rets,ONTUSDT IOSTUSDT_cum_rets,ETCUSDT ICXUSDT_cum_rets,ETCUSDT NULSUSDT_cum_rets,ETCUSDT ONGUSDT_cum_rets,ETCUSDT ZILUSDT_cum_rets,ETCUSDT IOSTUSDT_cum_rets,ICXUSDT LINKUSDT_cum_rets,NULSUSDT ONGUSDT_cum_rets,ONGUSDT IOSTUSDT_cum_rets,HOTUSDT IOSTUSDT_cum_rets,ZRXUSDT MATICUSDT_cum_rets,FETUSDT IOSTUSDT_cum_rets,BATUSDT MATICUSDT_cum_rets
2019-07-05,1.184677298161018,1.1140290725988105,0.9542299507316656,1.2707902543092486,1.026523127804441,0.9151841869232293,1.1289569620512576,0.6731897449213178,1.0,1.4708403958015706,0.9954200745637665,1.0213086861070628,1.006242484158429,1.0089747632191906,1.0685587476738418,1.1063342748129255,0.9732883859473866,1.0,0.9299905779154505,1.1474493339710563,1.0929788269070155,1.4391591090839064,1.070657841943186,1.398018648890666
2019-07-06,1.143764088624433,1.1065530881627863,0.9621680015644954,1.2757580090886544,1.0569143699956038,0.9151841869232293,1.0922129509835812,0.6787897345489413,1.0,1.4708403958015706,1.0025029690558451,1.0213086861070628,1.006242484158429,1.0008425375965497,1.0814203562340037,1.0666423364468034,1.0075720615871573,1.0,0.9360552957224135,1.0976854275267178,1.0929788269070155,1.4391591090839064,1.008837608093357,1.398018648890666
2019-07-07,1.1439632976068026,1.0997423950737375,0.9621680015644954,1.2805102726486557,1.061319719899611,0.9151841869232293,1.0883116523929905,0.6787897345489413,1.0,1.4708403958015706,1.007050609010243,1.0205668515022508,0.9473056839735376,1.0246113699629593,1.0836919360185375,1.05643324323499,1.0075720615871573,1.0,0.9553342172268677,1.0936937092276267,1.0929788269070155,1.4391591090839064,1.0036493282266068,1.398018648890666
2019-07-08,1.1892127384131808,1.122630920353633,0.9621680015644954,1.2805102726486557,1.068638489140173,0.9151841869232293,1.0884088497271485,0.6787897345489413,1.0,1.4708403958015706,0.9967652584216623,1.007685766395526,0.9839843336851423,1.0553211436477248,1.072526912406218,1.0682345735065726,1.0075720615871573,1.0,0.9598853258144943,1.0750735331681442,1.0929788269070155,1.4391591090839064,0.9811219999697418,1.398018648890666
2019-07-09,1.1892127384131808,1.1238967292302695,0.9717326485834257,1.2805102726486557,1.092641060886308,0.9380406041040077,1.103522195821431,0.689014355285861,1.0,1.450311307000123,0.9820969932771524,1.0517988196030312,0.9794707266883739,1.0553211436477248,1.0646938761264075,1.0553777506088982,1.0075720615871573,1.0,0.9576341235891538,1.1297179525646446,1.167327997548175,1.4391591090839064,1.0444738627016954,1.3794837705314968
2019-07-10,1.1892127384131808,1.1316906914903468,0.9717326485834257,1.2805102726486557,1.092641060886308,0.9380406041040077,1.0925171447919084,0.7153945389945501,1.0,1.4499293122902202,0.9734296412590624,1.0517988196030312,0.9463220579170395,1.0523243147329835,1.06487635220271,1.0460720936140133,0.9883932297837252,1.0,0.9309602997975527,1.1986810079201704,1.2712955673272164,1.4391591090839064,1.1363574054191612,1.372653470230226
2019-07-11,1.1892127384131808,1.1316906914903468,0.9717326485834257,1.3135079511487155,1.092641060886308,0.9380406041040077,1.1064806319684903,0.7153945389945501,1.0,1.3534239468889109,0.945286323416685,1.0517988196030312,0.9772363526795022,1.0354955360516964,1.0446116791450795,1.0628252310501678,0.935598020297656,1.0,0.8823327752150719,1.1986810079201704,1.2712955673272164,1.4391591090839064,1.1363574054191612,1.2850343949745793
2019-07-12,1.1892127384131808,1.1296743598610814,0.9870357445974763,1.3135079511487155,1.1019688346418122,0.9380406041040077,1.1064806319684903,0.7189064613422305,1.0,1.4160300421665375,1.0113798212248784,1.0550224324043511,0.9555897551536809,1.043084930212371,1.1061491616547385,1.0485866797374288,0.9411521313407121,1.0,0.9579329764584337,1.1957326548769902,1.3019123240714612,1.4973696250762587,1.1567470112229332,1.3538857225315881
2019-07-13,1.1892127384131808,1.1117199713442736,0.985420777177436,1.3135079511487155,1.1031453723477767,0.9380406041040077,1.1172395753392315,0.7102521013445675,1.0,1.4680928887599904,1.0113798212248784,1.0438429609365338,0.9690923500587073,1.062176335209469,1.1373618634006435,1.0532198165485591,0.9299233876501701,1.0,0.8964277745650082,1.1767161518204932,1.2556000103225475,1.5497905457317531,1.113000596076026,1.4002374425410187
2019-07-14,1.1892127384131808,1.0811200936110603,0.9673170258859918,1.3135079511487155,1.065740951946544,0.9681737322336468,1.0732323906326935,0.7430684160787322,1.0,1.333911350600391,1.0113798212248784,0.9613739644191679,0.921555902333231,1.0481320043492353,1.1366274587658645,1.045866607446332,0.8956506231943384,1.0,0.8554419272501954,1.017999328307132,1.0095731461578155,1.5497905457317531,0.9150493579345444,1.3058101967885911
